question,answer
Whats the flavour of a Hunter's Moon?,"A Hunter's Moon tastes sweet, citrusy, slightly bitter."
How would you describe a Hunter's Moon?,"A Hunter's Moon tastes sweet, citrusy, slightly bitter."
Whats the flavour of a Halloween Punch?,A Halloween Punch tastes refreshing.
How would you describe a Halloween Punch?,A Halloween Punch tastes refreshing.
What does Halloween Punch taste like?,A Halloween Punch tastes refreshing.
How would you describe a Havana Cocktail?,"A Havana Cocktail tastes sweet, citrusy."
Describe the taste of a Havana Cocktail.,"A Havana Cocktail tastes sweet, citrusy."
What does Havana Cocktail taste like?,"A Havana Cocktail tastes sweet, citrusy."
What does Holloween Punch taste like?,A Holloween Punch tastes spirit forward.
Describe the taste of a Holloween Punch.,A Holloween Punch tastes spirit forward.
Whats the flavour of a Holloween Punch?,A Holloween Punch tastes spirit forward.
How would you describe a Homemade Kahlua?,A Homemade Kahlua tastes sweet.
What does Homemade Kahlua taste like?,A Homemade Kahlua tastes sweet.
Describe the taste of a Homemade Kahlua.,A Homemade Kahlua tastes sweet.
Describe the taste of a Hot Creamy Bush.,A Hot Creamy Bush tastes sweet.
Is a Hot Creamy Bush sweet or bitter?,A Hot Creamy Bush tastes sweet.
How would you describe a Hot Creamy Bush?,A Hot Creamy Bush tastes sweet.
How would you describe a Harvey Wallbanger?,A Harvey Wallbanger tastes spirit forward.
Describe the taste of a Harvey Wallbanger.,A Harvey Wallbanger tastes spirit forward.
What does Harvey Wallbanger taste like?,A Harvey Wallbanger tastes spirit forward.
Whats the flavour of a Hawaiian Cocktail?,A Hawaiian Cocktail tastes sweet.
How would you describe a Hawaiian Cocktail?,A Hawaiian Cocktail tastes sweet.
Describe the taste of a Hawaiian Cocktail.,A Hawaiian Cocktail tastes sweet.
How would you describe a Hemingway Special?,"A Hemingway Special tastes sweet, citrusy."
Describe the taste of a Hemingway Special.,"A Hemingway Special tastes sweet, citrusy."
Whats the flavour of a Hemingway Special?,"A Hemingway Special tastes sweet, citrusy."
Is a Highland Fling Cocktail sweet or bitter?,A Highland Fling Cocktail tastes slightly bitter.
How would you describe a Highland Fling Cocktail?,A Highland Fling Cocktail tastes slightly bitter.
What does Highland Fling Cocktail taste like?,A Highland Fling Cocktail tastes slightly bitter.
Whats the flavour of a Hot Chocolate to Die for?,A Hot Chocolate to Die for tastes spirit forward.
Is a Hot Chocolate to Die for sweet or bitter?,A Hot Chocolate to Die for tastes spirit forward.
How would you describe a Hot Chocolate to Die for?,A Hot Chocolate to Die for tastes spirit forward.
Is a Ipamena sweet or bitter?,"A Ipamena tastes sweet, citrusy, refreshing."
Describe the taste of a Ipamena.,"A Ipamena tastes sweet, citrusy, refreshing."
How would you describe a Ipamena?,"A Ipamena tastes sweet, citrusy, refreshing."
How would you describe a Ice Pick?,A Ice Pick tastes citrusy.
Describe the taste of a Ice Pick.,A Ice Pick tastes citrusy.
What does Ice Pick taste like?,A Ice Pick tastes citrusy.
Is a Iced Coffee sweet or bitter?,A Iced Coffee tastes sweet.
Describe the taste of a Iced Coffee.,A Iced Coffee tastes sweet.
Whats the flavour of a Iced Coffee?,A Iced Coffee tastes sweet.
Whats the flavour of a Irish Cream?,A Irish Cream tastes sweet.
How would you describe a Irish Cream?,A Irish Cream tastes sweet.
Describe the taste of a Irish Cream.,A Irish Cream tastes sweet.
Is a Irish Coffee sweet or bitter?,A Irish Coffee tastes sweet.
What does Irish Coffee taste like?,A Irish Coffee tastes sweet.
Whats the flavour of a Irish Coffee?,A Irish Coffee tastes sweet.
What does Irish Spring taste like?,A Irish Spring tastes spirit forward.
Whats the flavour of a Irish Spring?,A Irish Spring tastes spirit forward.
Is a Irish Spring sweet or bitter?,A Irish Spring tastes spirit forward.
Whats the flavour of a Imperial Fizz?,"A Imperial Fizz tastes sweet, citrusy."
How would you describe a Imperial Fizz?,"A Imperial Fizz tastes sweet, citrusy."
What does Imperial Fizz taste like?,"A Imperial Fizz tastes sweet, citrusy."
What does Irish Russian taste like?,A Irish Russian tastes spirit forward.
Whats the flavour of a Irish Russian?,A Irish Russian tastes spirit forward.
Is a Irish Russian sweet or bitter?,A Irish Russian tastes spirit forward.
Whats the flavour of a Imperial Cocktail?,"A Imperial Cocktail tastes citrusy, slightly bitter."
How would you describe a Imperial Cocktail?,"A Imperial Cocktail tastes citrusy, slightly bitter."
What does Imperial Cocktail taste like?,"A Imperial Cocktail tastes citrusy, slightly bitter."
What does Iced Coffee Fillip taste like?,A Iced Coffee Fillip tastes spirit forward.
Describe the taste of a Iced Coffee Fillip.,A Iced Coffee Fillip tastes spirit forward.
How would you describe a Iced Coffee Fillip?,A Iced Coffee Fillip tastes spirit forward.
Describe the taste of a Irish Curdling Cow.,A Irish Curdling Cow tastes sweet.
What does Irish Curdling Cow taste like?,A Irish Curdling Cow tastes sweet.
Is a Irish Curdling Cow sweet or bitter?,A Irish Curdling Cow tastes sweet.
Whats the flavour of a Jam Donut?,A Jam Donut tastes sweet.
What does Jam Donut taste like?,A Jam Donut tastes sweet.
Is a Jam Donut sweet or bitter?,A Jam Donut tastes sweet.
What does Jitterbug taste like?,"A Jitterbug tastes sweet, citrusy, refreshing."
How would you describe a Jitterbug?,"A Jitterbug tastes sweet, citrusy, refreshing."
Whats the flavour of a Jitterbug?,"A Jitterbug tastes sweet, citrusy, refreshing."
Describe the taste of a Jackhammer.,A Jackhammer tastes spirit forward.
What does Jackhammer taste like?,A Jackhammer tastes spirit forward.
Is a Jackhammer sweet or bitter?,A Jackhammer tastes spirit forward.
Is a Jelly Bean sweet or bitter?,A Jelly Bean tastes spirit forward.
Describe the taste of a Jelly Bean.,A Jelly Bean tastes spirit forward.
How would you describe a Jelly Bean?,A Jelly Bean tastes spirit forward.
Is a Jello shots sweet or bitter?,A Jello shots tastes spirit forward.
Whats the flavour of a Jello shots?,A Jello shots tastes spirit forward.
How would you describe a Jello shots?,A Jello shots tastes spirit forward.
What does Jamaica Kiss taste like?,A Jamaica Kiss tastes sweet.
How would you describe a Jamaica Kiss?,A Jamaica Kiss tastes sweet.
Whats the flavour of a Jamaica Kiss?,A Jamaica Kiss tastes sweet.
Is a John Collins sweet or bitter?,"A John Collins tastes sweet, citrusy, refreshing."
Describe the taste of a John Collins.,"A John Collins tastes sweet, citrusy, refreshing."
Whats the flavour of a John Collins?,"A John Collins tastes sweet, citrusy, refreshing."
Is a Japanese Fizz sweet or bitter?,"A Japanese Fizz tastes sweet, citrusy."
Describe the taste of a Japanese Fizz.,"A Japanese Fizz tastes sweet, citrusy."
How would you describe a Japanese Fizz?,"A Japanese Fizz tastes sweet, citrusy."
What does Jamaican Coffee taste like?,A Jamaican Coffee tastes sweet.
How would you describe a Jamaican Coffee?,A Jamaican Coffee tastes sweet.
Is a Jamaican Coffee sweet or bitter?,A Jamaican Coffee tastes sweet.
Is a Just a Moonmint sweet or bitter?,"A Just a Moonmint tastes sweet, refreshing."
Whats the flavour of a Just a Moonmint?,"A Just a Moonmint tastes sweet, refreshing."
Describe the taste of a Just a Moonmint.,"A Just a Moonmint tastes sweet, refreshing."
Is a Jewel Of The Nile sweet or bitter?,A Jewel Of The Nile tastes spirit forward.
Describe the taste of a Jewel Of The Nile.,A Jewel Of The Nile tastes spirit forward.
Whats the flavour of a Jewel Of The Nile?,A Jewel Of The Nile tastes spirit forward.
How would you describe a Jack Rose Cocktail?,"A Jack Rose Cocktail tastes sweet, citrusy."
Describe the taste of a Jack Rose Cocktail.,"A Jack Rose Cocktail tastes sweet, citrusy."
Is a Jack Rose Cocktail sweet or bitter?,"A Jack Rose Cocktail tastes sweet, citrusy."
Describe the taste of a Jack's Vanilla Coke.,A Jack's Vanilla Coke tastes spirit forward.
What does Jack's Vanilla Coke taste like?,A Jack's Vanilla Coke tastes spirit forward.
How would you describe a Jack's Vanilla Coke?,A Jack's Vanilla Coke tastes spirit forward.
Is a Kir sweet or bitter?,A Kir tastes spirit forward.
What does Kir taste like?,A Kir tastes spirit forward.
Whats the flavour of a Kir?,A Kir tastes spirit forward.
Describe the taste of a Karsk.,A Karsk tastes spirit forward.
Whats the flavour of a Karsk?,A Karsk tastes spirit forward.
Is a Karsk sweet or bitter?,A Karsk tastes spirit forward.
Whats the flavour of a Kamikaze?,"A Kamikaze tastes sweet, citrusy."
What does Kamikaze taste like?,"A Kamikaze tastes sweet, citrusy."
Describe the taste of a Kamikaze.,"A Kamikaze tastes sweet, citrusy."
Describe the taste of a Kir Royale.,A Kir Royale tastes spirit forward.
Whats the flavour of a Kir Royale?,A Kir Royale tastes spirit forward.
How would you describe a Kir Royale?,A Kir Royale tastes spirit forward.
Describe the taste of a Kiwi Lemon.,"A Kiwi Lemon tastes sweet, citrusy."
Whats the flavour of a Kiwi Lemon?,"A Kiwi Lemon tastes sweet, citrusy."
What does Kiwi Lemon taste like?,"A Kiwi Lemon tastes sweet, citrusy."
Is a Kurant Tea sweet or bitter?,A Kurant Tea tastes sweet.
Whats the flavour of a Kurant Tea?,A Kurant Tea tastes sweet.
Describe the taste of a Kurant Tea.,A Kurant Tea tastes sweet.
Whats the flavour of a Kioki Coffee?,A Kioki Coffee tastes spirit forward.
Describe the taste of a Kioki Coffee.,A Kioki Coffee tastes spirit forward.
What does Kioki Coffee taste like?,A Kioki Coffee tastes spirit forward.
Is a Kiwi Martini sweet or bitter?,A Kiwi Martini tastes sweet.
What does Kiwi Martini taste like?,A Kiwi Martini tastes sweet.
Whats the flavour of a Kiwi Martini?,A Kiwi Martini tastes sweet.
Whats the flavour of a Kiss me Quick?,A Kiss me Quick tastes spirit forward.
Describe the taste of a Kiss me Quick.,A Kiss me Quick tastes spirit forward.
How would you describe a Kiss me Quick?,A Kiss me Quick tastes spirit forward.
Describe the taste of a Kool-Aid Shot.,A Kool-Aid Shot tastes sweet.
How would you describe a Kool-Aid Shot?,A Kool-Aid Shot tastes sweet.
Whats the flavour of a Kool-Aid Shot?,A Kool-Aid Shot tastes sweet.
Describe the taste of a Kool First Aid.,A Kool First Aid tastes spirit forward.
Is a Kool First Aid sweet or bitter?,A Kool First Aid tastes spirit forward.
How would you describe a Kool First Aid?,A Kool First Aid tastes spirit forward.
What does Kentucky B And B taste like?,A Kentucky B And B tastes spirit forward.
Whats the flavour of a Kentucky B And B?,A Kentucky B And B tastes spirit forward.
Is a Kentucky B And B sweet or bitter?,A Kentucky B And B tastes spirit forward.
Describe the taste of a Kentucky Colonel.,A Kentucky Colonel tastes citrusy.
How would you describe a Kentucky Colonel?,A Kentucky Colonel tastes citrusy.
Whats the flavour of a Kentucky Colonel?,A Kentucky Colonel tastes citrusy.
Whats the flavour of a Kool-Aid Slammer?,A Kool-Aid Slammer tastes spirit forward.
What does Kool-Aid Slammer taste like?,A Kool-Aid Slammer tastes spirit forward.
Is a Kool-Aid Slammer sweet or bitter?,A Kool-Aid Slammer tastes spirit forward.
Describe the taste of a Kiwi Papaya Smoothie.,A Kiwi Papaya Smoothie tastes spirit forward.
Whats the flavour of a Kiwi Papaya Smoothie?,A Kiwi Papaya Smoothie tastes spirit forward.
What does Kiwi Papaya Smoothie taste like?,A Kiwi Papaya Smoothie tastes spirit forward.
Describe the taste of a Kill the cold Smoothie.,"A Kill the cold Smoothie tastes citrusy, refreshing."
What does Kill the cold Smoothie taste like?,"A Kill the cold Smoothie tastes citrusy, refreshing."
Is a Kill the cold Smoothie sweet or bitter?,"A Kill the cold Smoothie tastes citrusy, refreshing."
Describe the taste of a Limeade.,"A Limeade tastes sweet, citrusy, refreshing."
Whats the flavour of a Limeade?,"A Limeade tastes sweet, citrusy, refreshing."
What does Limeade taste like?,"A Limeade tastes sweet, citrusy, refreshing."
What does Lunch Box taste like?,A Lunch Box tastes spirit forward.
Describe the taste of a Lunch Box.,A Lunch Box tastes spirit forward.
Whats the flavour of a Lunch Box?,A Lunch Box tastes spirit forward.
Whats the flavour of a Lemon Drop?,A Lemon Drop tastes citrusy.
Is a Lemon Drop sweet or bitter?,A Lemon Drop tastes citrusy.
How would you describe a Lemon Drop?,A Lemon Drop tastes citrusy.
What does Lemon Shot taste like?,"A Lemon Shot tastes sweet, citrusy."
How would you describe a Lemon Shot?,"A Lemon Shot tastes sweet, citrusy."
Whats the flavour of a Lemon Shot?,"A Lemon Shot tastes sweet, citrusy."
Is a Long vodka sweet or bitter?,"A Long vodka tastes citrusy, refreshing, slightly bitter."
Describe the taste of a Long vodka.,"A Long vodka tastes citrusy, refreshing, slightly bitter."
What does Long vodka taste like?,"A Long vodka tastes citrusy, refreshing, slightly bitter."
How would you describe a Lassi Khara?,A Lassi Khara tastes spirit forward.
Whats the flavour of a Lassi Khara?,A Lassi Khara tastes spirit forward.
What does Lassi Khara taste like?,A Lassi Khara tastes spirit forward.
Is a Lassi Raita sweet or bitter?,"A Lassi Raita tastes sweet, citrusy."
Whats the flavour of a Lassi Raita?,"A Lassi Raita tastes sweet, citrusy."
Describe the taste of a Lassi Raita.,"A Lassi Raita tastes sweet, citrusy."
Is a Lemouroudji sweet or bitter?,"A Lemouroudji tastes sweet, citrusy, refreshing."
Whats the flavour of a Lemouroudji?,"A Lemouroudji tastes sweet, citrusy, refreshing."
What does Lemouroudji taste like?,"A Lemouroudji tastes sweet, citrusy, refreshing."
What does Loch Lomond taste like?,"A Loch Lomond tastes citrusy, slightly bitter."
How would you describe a Loch Lomond?,"A Loch Lomond tastes citrusy, slightly bitter."
Whats the flavour of a Loch Lomond?,"A Loch Lomond tastes citrusy, slightly bitter."
Is a London Town sweet or bitter?,"A London Town tastes sweet, slightly bitter."
What does London Town taste like?,"A London Town tastes sweet, slightly bitter."
Describe the taste of a London Town.,"A London Town tastes sweet, slightly bitter."
Whats the flavour of a Lassi - Mango?,A Lassi - Mango tastes sweet.
What does Lassi - Mango taste like?,A Lassi - Mango tastes sweet.
Is a Lassi - Mango sweet or bitter?,A Lassi - Mango tastes sweet.
Describe the taste of a Lassi - Sweet.,"A Lassi - Sweet tastes sweet, citrusy."
Whats the flavour of a Lassi - Sweet?,"A Lassi - Sweet tastes sweet, citrusy."
How would you describe a Lassi - Sweet?,"A Lassi - Sweet tastes sweet, citrusy."
Is a Limona Corona sweet or bitter?,A Limona Corona tastes spirit forward.
Whats the flavour of a Limona Corona?,A Limona Corona tastes spirit forward.
What does Limona Corona taste like?,A Limona Corona tastes spirit forward.
What does Lord And Lady taste like?,A Lord And Lady tastes spirit forward.
Whats the flavour of a Lord And Lady?,A Lord And Lady tastes spirit forward.
How would you describe a Lord And Lady?,A Lord And Lady tastes spirit forward.
Is a Lady Love Fizz sweet or bitter?,"A Lady Love Fizz tastes sweet, citrusy."
Whats the flavour of a Lady Love Fizz?,"A Lady Love Fizz tastes sweet, citrusy."
What does Lady Love Fizz taste like?,"A Lady Love Fizz tastes sweet, citrusy."
Is a Long Island Tea sweet or bitter?,A Long Island Tea tastes citrusy.
How would you describe a Long Island Tea?,A Long Island Tea tastes citrusy.
Whats the flavour of a Long Island Tea?,A Long Island Tea tastes citrusy.
Whats the flavour of a Lone Tree Cooler?,"A Lone Tree Cooler tastes sweet, citrusy, slightly bitter."
What does Lone Tree Cooler taste like?,"A Lone Tree Cooler tastes sweet, citrusy, slightly bitter."
Is a Lone Tree Cooler sweet or bitter?,"A Lone Tree Cooler tastes sweet, citrusy, slightly bitter."
Whats the flavour of a Lone Tree Cocktail?,A Lone Tree Cocktail tastes slightly bitter.
Describe the taste of a Lone Tree Cocktail.,A Lone Tree Cocktail tastes slightly bitter.
Is a Lone Tree Cocktail sweet or bitter?,A Lone Tree Cocktail tastes slightly bitter.
Whats the flavour of a Lazy Coconut Paloma?,"A Lazy Coconut Paloma tastes sweet, refreshing."
What does Lazy Coconut Paloma taste like?,"A Lazy Coconut Paloma tastes sweet, refreshing."
Describe the taste of a Lazy Coconut Paloma.,"A Lazy Coconut Paloma tastes sweet, refreshing."
What does Long Island Iced Tea taste like?,A Long Island Iced Tea tastes citrusy.
Whats the flavour of a Long Island Iced Tea?,A Long Island Iced Tea tastes citrusy.
How would you describe a Long Island Iced Tea?,A Long Island Iced Tea tastes citrusy.
What does Lemon Elderflower Spritzer taste like?,"A Lemon Elderflower Spritzer tastes citrusy, refreshing."
Is a Lemon Elderflower Spritzer sweet or bitter?,"A Lemon Elderflower Spritzer tastes citrusy, refreshing."
How would you describe a Lemon Elderflower Spritzer?,"A Lemon Elderflower Spritzer tastes citrusy, refreshing."
What does Lassi - A South Indian Drink taste like?,A Lassi - A South Indian Drink tastes refreshing.
Is a Lassi - A South Indian Drink sweet or bitter?,A Lassi - A South Indian Drink tastes refreshing.
Describe the taste of a Lassi - A South Indian Drink.,A Lassi - A South Indian Drink tastes refreshing.
Is a Melya sweet or bitter?,A Melya tastes spirit forward.
How would you describe a Melya?,A Melya tastes spirit forward.
Whats the flavour of a Melya?,A Melya tastes spirit forward.
What does Mimosa taste like?,A Mimosa tastes spirit forward.
Is a Mimosa sweet or bitter?,A Mimosa tastes spirit forward.
Whats the flavour of a Mimosa?,A Mimosa tastes spirit forward.
Is a Mai Tai sweet or bitter?,A Mai Tai tastes sweet.
How would you describe a Mai Tai?,A Mai Tai tastes sweet.
Describe the taste of a Mai Tai.,A Mai Tai tastes sweet.
What does Martini taste like?,A Martini tastes slightly bitter.
How would you describe a Martini?,A Martini tastes slightly bitter.
Whats the flavour of a Martini?,A Martini tastes slightly bitter.
Describe the taste of a Michelada.,A Michelada tastes citrusy.
What does Michelada taste like?,A Michelada tastes citrusy.
How would you describe a Michelada?,A Michelada tastes citrusy.
Whats the flavour of a Manhattan?,A Manhattan tastes slightly bitter.
How would you describe a Manhattan?,A Manhattan tastes slightly bitter.
Describe the taste of a Manhattan.,A Manhattan tastes slightly bitter.
Whats the flavour of a Mauresque?,A Mauresque tastes sweet.
How would you describe a Mauresque?,A Mauresque tastes sweet.
What does Mauresque taste like?,A Mauresque tastes sweet.
Whats the flavour of a Mint Julep?,"A Mint Julep tastes sweet, refreshing."
Describe the taste of a Mint Julep.,"A Mint Julep tastes sweet, refreshing."
What does Mint Julep taste like?,"A Mint Julep tastes sweet, refreshing."
Is a Mudslinger sweet or bitter?,A Mudslinger tastes spirit forward.
Describe the taste of a Mudslinger.,A Mudslinger tastes spirit forward.
How would you describe a Mudslinger?,A Mudslinger tastes spirit forward.
Describe the taste of a Martinez 2.,"A Martinez 2 tastes sweet, slightly bitter."
Is a Martinez 2 sweet or bitter?,"A Martinez 2 tastes sweet, slightly bitter."
How would you describe a Martinez 2?,"A Martinez 2 tastes sweet, slightly bitter."
Whats the flavour of a Moranguito?,A Moranguito tastes sweet.
Is a Moranguito sweet or bitter?,A Moranguito tastes sweet.
How would you describe a Moranguito?,A Moranguito tastes sweet.
What does Miami Vice taste like?,A Miami Vice tastes spirit forward.
Describe the taste of a Miami Vice.,A Miami Vice tastes spirit forward.
Whats the flavour of a Miami Vice?,A Miami Vice tastes spirit forward.
Describe the taste of a Moscow Mule.,"A Moscow Mule tastes citrusy, refreshing."
How would you describe a Moscow Mule?,"A Moscow Mule tastes citrusy, refreshing."
Whats the flavour of a Moscow Mule?,"A Moscow Mule tastes citrusy, refreshing."
What does Mulled Wine taste like?,"A Mulled Wine tastes sweet, citrusy."
How would you describe a Mulled Wine?,"A Mulled Wine tastes sweet, citrusy."
Describe the taste of a Mulled Wine.,"A Mulled Wine tastes sweet, citrusy."
How would you describe a Masala Chai?,"A Masala Chai tastes sweet, refreshing."
Is a Masala Chai sweet or bitter?,"A Masala Chai tastes sweet, refreshing."
What does Masala Chai taste like?,"A Masala Chai tastes sweet, refreshing."
Whats the flavour of a Munich Mule?,"A Munich Mule tastes citrusy, refreshing."
What does Munich Mule taste like?,"A Munich Mule tastes citrusy, refreshing."
How would you describe a Munich Mule?,"A Munich Mule tastes citrusy, refreshing."
Is a Mocha-Berry sweet or bitter?,A Mocha-Berry tastes sweet.
What does Mocha-Berry taste like?,A Mocha-Berry tastes sweet.
Whats the flavour of a Mocha-Berry?,A Mocha-Berry tastes sweet.
What does Mango Mojito taste like?,"A Mango Mojito tastes citrusy, refreshing."
Whats the flavour of a Mango Mojito?,"A Mango Mojito tastes citrusy, refreshing."
Describe the taste of a Mango Mojito.,"A Mango Mojito tastes citrusy, refreshing."
Whats the flavour of a Mojito Extra?,"A Mojito Extra tastes citrusy, refreshing, slightly bitter."
Describe the taste of a Mojito Extra.,"A Mojito Extra tastes citrusy, refreshing, slightly bitter."
What does Mojito Extra taste like?,"A Mojito Extra tastes citrusy, refreshing, slightly bitter."
Describe the taste of a Monkey Gland.,A Monkey Gland tastes sweet.
Whats the flavour of a Monkey Gland?,A Monkey Gland tastes sweet.
How would you describe a Monkey Gland?,A Monkey Gland tastes sweet.
How would you describe a Midnight Mint?,A Midnight Mint tastes sweet.
Describe the taste of a Midnight Mint.,A Midnight Mint tastes sweet.
Is a Midnight Mint sweet or bitter?,A Midnight Mint tastes sweet.
How would you describe a Mary Pickford?,A Mary Pickford tastes sweet.
What does Mary Pickford taste like?,A Mary Pickford tastes sweet.
Describe the taste of a Mary Pickford.,A Mary Pickford tastes sweet.
Is a Monkey Wrench sweet or bitter?,A Monkey Wrench tastes slightly bitter.
How would you describe a Monkey Wrench?,A Monkey Wrench tastes slightly bitter.
Whats the flavour of a Monkey Wrench?,A Monkey Wrench tastes slightly bitter.
Is a New York Sour sweet or bitter?,"A New York Sour tastes sweet, citrusy."
How would you describe a New York Sour?,"A New York Sour tastes sweet, citrusy."
Describe the taste of a New York Sour.,"A New York Sour tastes sweet, citrusy."
Is a Nutty Irishman sweet or bitter?,A Nutty Irishman tastes sweet.
Describe the taste of a Nutty Irishman.,A Nutty Irishman tastes sweet.
Whats the flavour of a Nutty Irishman?,A Nutty Irishman tastes sweet.
Describe the taste of a National Aquarium.,"A National Aquarium tastes citrusy, refreshing."
How would you describe a National Aquarium?,"A National Aquarium tastes citrusy, refreshing."
What does National Aquarium taste like?,"A National Aquarium tastes citrusy, refreshing."
Describe the taste of a New York Lemonade.,"A New York Lemonade tastes citrusy, refreshing."
How would you describe a New York Lemonade?,"A New York Lemonade tastes citrusy, refreshing."
Whats the flavour of a New York Lemonade?,"A New York Lemonade tastes citrusy, refreshing."
How would you describe a Nuked Hot Chocolate?,A Nuked Hot Chocolate tastes sweet.
Describe the taste of a Nuked Hot Chocolate.,A Nuked Hot Chocolate tastes sweet.
Whats the flavour of a Nuked Hot Chocolate?,A Nuked Hot Chocolate tastes sweet.
What does Orgasm taste like?,A Orgasm tastes sweet.
Whats the flavour of a Orgasm?,A Orgasm tastes sweet.
Describe the taste of a Orgasm.,A Orgasm tastes sweet.
Describe the taste of a Old Pal.,A Old Pal tastes slightly bitter.
How would you describe a Old Pal?,A Old Pal tastes slightly bitter.
Is a Old Pal sweet or bitter?,A Old Pal tastes slightly bitter.
What does Orangeade taste like?,"A Orangeade tastes sweet, citrusy, refreshing."
Whats the flavour of a Orangeade?,"A Orangeade tastes sweet, citrusy, refreshing."
How would you describe a Orangeade?,"A Orangeade tastes sweet, citrusy, refreshing."
What does Orange Whip taste like?,A Orange Whip tastes sweet.
How would you describe a Orange Whip?,A Orange Whip tastes sweet.
Describe the taste of a Orange Whip.,A Orange Whip tastes sweet.
Describe the taste of a Orange Crush.,A Orange Crush tastes sweet.
Whats the flavour of a Orange Crush?,A Orange Crush tastes sweet.
How would you describe a Orange Crush?,A Orange Crush tastes sweet.
What does Orange Oasis taste like?,A Orange Oasis tastes refreshing.
Is a Orange Oasis sweet or bitter?,A Orange Oasis tastes refreshing.
How would you describe a Orange Oasis?,A Orange Oasis tastes refreshing.
What does Oreo Mudslide taste like?,A Oreo Mudslide tastes sweet.
How would you describe a Oreo Mudslide?,A Oreo Mudslide tastes sweet.
Whats the flavour of a Oreo Mudslide?,A Oreo Mudslide tastes sweet.
How would you describe a Oatmeal Cookie?,A Oatmeal Cookie tastes sweet.
Describe the taste of a Oatmeal Cookie.,A Oatmeal Cookie tastes sweet.
What does Oatmeal Cookie taste like?,A Oatmeal Cookie tastes sweet.
Is a Orange Push-up sweet or bitter?,A Orange Push-up tastes sweet.
Describe the taste of a Orange Push-up.,A Orange Push-up tastes sweet.
Whats the flavour of a Orange Push-up?,A Orange Push-up tastes sweet.
How would you describe a Orange Rosemary Collins?,"A Orange Rosemary Collins tastes sweet, citrusy, refreshing."
Is a Orange Rosemary Collins sweet or bitter?,"A Orange Rosemary Collins tastes sweet, citrusy, refreshing."
Whats the flavour of a Orange Rosemary Collins?,"A Orange Rosemary Collins tastes sweet, citrusy, refreshing."
What does Orange Scented Hot Chocolate taste like?,A Orange Scented Hot Chocolate tastes spirit forward.
How would you describe a Orange Scented Hot Chocolate?,A Orange Scented Hot Chocolate tastes spirit forward.
Is a Orange Scented Hot Chocolate sweet or bitter?,A Orange Scented Hot Chocolate tastes spirit forward.
How would you describe a Owen's Grandmother's Revenge?,A Owen's Grandmother's Revenge tastes citrusy.
Is a Owen's Grandmother's Revenge sweet or bitter?,A Owen's Grandmother's Revenge tastes citrusy.
What does Owen's Grandmother's Revenge taste like?,A Owen's Grandmother's Revenge tastes citrusy.
What does Paloma taste like?,A Paloma tastes refreshing.
Is a Paloma sweet or bitter?,A Paloma tastes refreshing.
Describe the taste of a Paloma.,A Paloma tastes refreshing.
Describe the taste of a Paradise.,A Paradise tastes spirit forward.
What does Paradise taste like?,A Paradise tastes spirit forward.
Whats the flavour of a Paradise?,A Paradise tastes spirit forward.
Is a Pink Gin sweet or bitter?,A Pink Gin tastes slightly bitter.
What does Pink Gin taste like?,A Pink Gin tastes slightly bitter.
How would you describe a Pink Gin?,A Pink Gin tastes slightly bitter.
Describe the taste of a Pegu Club.,"A Pegu Club tastes citrusy, slightly bitter."
What does Pegu Club taste like?,"A Pegu Club tastes citrusy, slightly bitter."
How would you describe a Pegu Club?,"A Pegu Club tastes citrusy, slightly bitter."
Whats the flavour of a Pink Lady?,A Pink Lady tastes sweet.
Is a Pink Lady sweet or bitter?,A Pink Lady tastes sweet.
What does Pink Lady taste like?,A Pink Lady tastes sweet.
How would you describe a Pink Moon?,"A Pink Moon tastes sweet, citrusy."
Is a Pink Moon sweet or bitter?,"A Pink Moon tastes sweet, citrusy."
What does Pink Moon taste like?,"A Pink Moon tastes sweet, citrusy."
Describe the taste of a Penicillin.,"A Penicillin tastes sweet, citrusy, refreshing."
What does Penicillin taste like?,"A Penicillin tastes sweet, citrusy, refreshing."
How would you describe a Penicillin?,"A Penicillin tastes sweet, citrusy, refreshing."
How would you describe a Pisco Sour?,"A Pisco Sour tastes sweet, citrusy."
Whats the flavour of a Pisco Sour?,"A Pisco Sour tastes sweet, citrusy."
What does Pisco Sour taste like?,"A Pisco Sour tastes sweet, citrusy."
Whats the flavour of a Porto flip?,A Porto flip tastes spirit forward.
What does Porto flip taste like?,A Porto flip tastes spirit forward.
Describe the taste of a Porto flip.,A Porto flip tastes spirit forward.
How would you describe a Pina Colada?,A Pina Colada tastes sweet.
Describe the taste of a Pina Colada.,A Pina Colada tastes sweet.
Is a Pina Colada sweet or bitter?,A Pina Colada tastes sweet.
How would you describe a Pink Penocha?,A Pink Penocha tastes spirit forward.
What does Pink Penocha taste like?,A Pink Penocha tastes spirit forward.
Is a Pink Penocha sweet or bitter?,A Pink Penocha tastes spirit forward.
Describe the taste of a Pure Passion.,"A Pure Passion tastes sweet, citrusy, refreshing, slightly bitter."
Whats the flavour of a Pure Passion?,"A Pure Passion tastes sweet, citrusy, refreshing, slightly bitter."
Is a Pure Passion sweet or bitter?,"A Pure Passion tastes sweet, citrusy, refreshing, slightly bitter."
Is a Popped cherry sweet or bitter?,A Popped cherry tastes sweet.
Whats the flavour of a Popped cherry?,A Popped cherry tastes sweet.
Describe the taste of a Popped cherry.,A Popped cherry tastes sweet.
