question,answer
What are the steps to make a White Wine Sangria?,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water."
How do I serve a White Wine Sangria?,Serve a White Wine Sangria in a Pitcher.
Is a White Wine Sangria alcoholic?,White Wine Sangria is listed as: Alcoholic.
Does White Wine Sangria contain alcohol?,White Wine Sangria is listed as: Alcoholic.
What category is a White Wine Sangria?,White Wine Sangria is in the category: Punch / Party Drink.
"Is White Wine Sangria a cocktail, shot, or something else?",White Wine Sangria is in the category: Punch / Party Drink.
What glass is a White Wine Sangria served in?,White Wine Sangria is served in a Pitcher.
What glassware do I need for a White Wine Sangria?,You need a Pitcher for a White Wine Sangria.
Tell me about the White Wine Sangria cocktail.,"question Generate a cocktail with Lime lemon White Wine Strawberries Apple Apple Brandy Soda Water answer Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water."
What is in a Whitecap Margarita?,"Whitecap Margarita contains: 1 cup Ice, 2 oz Tequila, 1/4 cup Cream of coconut, 3 tblsp fresh Lime juice."
What ingredients are in a Whitecap Margarita?,"The ingredients for Whitecap Margarita are: 1 cup Ice, 2 oz Tequila, 1/4 cup Cream of coconut, 3 tblsp fresh Lime juice."
List the ingredients of a Whitecap Margarita.,"Whitecap Margarita uses: 1 cup Ice, 2 oz Tequila, 1/4 cup Cream of coconut, 3 tblsp fresh Lime juice."
What's in the Whitecap Margarita cocktail?,"The Whitecap Margarita cocktail contains: 1 cup Ice, 2 oz Tequila, 1/4 cup Cream of coconut, 3 tblsp fresh Lime juice."
Does a Whitecap Margarita contain Ice?,Yes — Whitecap Margarita includes Ice.
How to prepare a Whitecap Margarita?,Place all ingredients in a blender and blend until smooth. This makes one drink.
How do you make a Whitecap Margarita?,Place all ingredients in a blender and blend until smooth. This makes one drink.
How is a Whitecap Margarita made?,Place all ingredients in a blender and blend until smooth. This makes one drink.
What are the steps to make a Whitecap Margarita?,Place all ingredients in a blender and blend until smooth. This makes one drink.
How do I serve a Whitecap Margarita?,Serve a Whitecap Margarita in a Margarita/Coupette glass.
Is a Whitecap Margarita alcoholic?,Whitecap Margarita is listed as: Alcoholic.
Does Whitecap Margarita contain alcohol?,Whitecap Margarita is listed as: Alcoholic.
What category is a Whitecap Margarita?,Whitecap Margarita is in the category: Other / Unknown.
"Is Whitecap Margarita a cocktail, shot, or something else?",Whitecap Margarita is in the category: Other / Unknown.
What glass is a Whitecap Margarita served in?,Whitecap Margarita is served in a Margarita/Coupette glass.
What glassware do I need for a Whitecap Margarita?,You need a Margarita/Coupette glass for a Whitecap Margarita.
Tell me about the Whitecap Margarita cocktail.,question Generate a cocktail with Ice Tequila Cream of coconut Lime juice answer Place all ingredients in a blender and blend until smooth. This makes one drink.
What is in a Ziemes Martini Apfelsaft?,"Ziemes Martini Apfelsaft contains: 4 cl Vermouth, 16 cl Apple juice."
What ingredients are in a Ziemes Martini Apfelsaft?,"The ingredients for Ziemes Martini Apfelsaft are: 4 cl Vermouth, 16 cl Apple juice."
List the ingredients of a Ziemes Martini Apfelsaft.,"Ziemes Martini Apfelsaft uses: 4 cl Vermouth, 16 cl Apple juice."
What's in the Ziemes Martini Apfelsaft cocktail?,"The Ziemes Martini Apfelsaft cocktail contains: 4 cl Vermouth, 16 cl Apple juice."
Does a Ziemes Martini Apfelsaft contain Vermouth?,Yes — Ziemes Martini Apfelsaft includes Vermouth.
How to prepare a Ziemes Martini Apfelsaft?,Serve without ice. At least the juice shold have room temperature.
How do you make a Ziemes Martini Apfelsaft?,Serve without ice. At least the juice shold have room temperature.
How is a Ziemes Martini Apfelsaft made?,Serve without ice. At least the juice shold have room temperature.
What are the steps to make a Ziemes Martini Apfelsaft?,Serve without ice. At least the juice shold have room temperature.
How do I serve a Ziemes Martini Apfelsaft?,Serve a Ziemes Martini Apfelsaft in a Collins Glass.
Is a Ziemes Martini Apfelsaft alcoholic?,Ziemes Martini Apfelsaft is listed as: Alcoholic.
Does Ziemes Martini Apfelsaft contain alcohol?,Ziemes Martini Apfelsaft is listed as: Alcoholic.
What category is a Ziemes Martini Apfelsaft?,Ziemes Martini Apfelsaft is in the category: Ordinary Drink.
"Is Ziemes Martini Apfelsaft a cocktail, shot, or something else?",Ziemes Martini Apfelsaft is in the category: Ordinary Drink.
What glass is a Ziemes Martini Apfelsaft served in?,Ziemes Martini Apfelsaft is served in a Collins Glass.
What glassware do I need for a Ziemes Martini Apfelsaft?,You need a Collins Glass for a Ziemes Martini Apfelsaft.
Tell me about the Ziemes Martini Apfelsaft cocktail.,question Generate a cocktail with Vermouth Apple juice answer Serve without ice. At least the juice shold have room temperature.
